"#"	"x"	"bhikkhupātimokkhapāḷi"	"pos"	"grammar"	"+case"	"tamil"	"meaning"	"lit. meaning"	"root"	"rt gp"	"sign"	"base"	"construction"	"compound type"	"compound construction"	"abbrev"	"source"	"sentence"	"aṭṭhakathā"
"2"	"7"	"- evaṃ"	"ind"	"adv"	"0"	"எப்படியோ"	"thus, like this, as"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"NI"	"nidānuddeso"	"yathā kho pana paccekapuṭṭhassa veyyākaraṇaṃ hoti, evam'evaṃ evarūpāya parisāya yāvatatiyaṃ anusāvitaṃ hoti"	""
"1"	"1"	"evarūpāya"	"adj"	"fem loc sg of evarūpa"	""	"இந்த மாதிரி"	"in such kind"	"of such form"	""	""	""	""	"eva + rūpa"	""	""	"NI"	"nidānuddeso"	"yathā kho pana paccekapuṭṭhassa veyyākaraṇaṃ hoti, evam'evaṃ <b>evarūpāya</b> parisāya yāvatatiyaṃ anusāvitaṃ hoti"	""
"1"	"1"	"parisāya"	"noun"	"fem loc sg of parisā"	""	"கூட்டத்தில்"	"in the assembly"	"sitting around"	"√sad (sink, sit, settle)"	"1"	"a"	""	"pari + √sad + ā"	""	""	"NI"	"nidānuddeso"	"yathā kho pana paccekapuṭṭhassa veyyākaraṇaṃ hoti, evam'evaṃ evarūpāya <b>parisāya</b> yāvatatiyaṃ anusāvitaṃ hoti"	""
"1"	"7"	"yāvatatiyaṃ"	"ind"	"adv, comp"	""	"3 முறை வரை"	"up to the third time"	""	""	""	""	""	"yāva + tatiyaṃ"	""	""	"NI"	"nidānuddeso"	"yathā kho pana paccekapuṭṭhassa veyyākaraṇaṃ hoti, evam'evaṃ evarūpāya parisāya <b>yāvatatiyaṃ</b> anusāvitaṃ hoti"	""
"1"	"4"	"- yāva"	"ind"	"prep"	""	"வரை"	"as far as, up to, until"	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	"yathā kho pana paccekapuṭṭhassa veyyākaraṇaṃ hoti, evam'evaṃ evarūpāya parisāya <b>yāva</b>tatiyaṃ anusāvitaṃ hoti"	""
"1"	"3"	"- tatiyaṃ"	"ind"	"adv"	""	"3 முறை"	"third time"	""	""	""	""	""	"ti + tiya + aṃ"	""	""	"NI"	"nidānuddeso"	"yathā kho pana paccekapuṭṭhassa veyyākaraṇaṃ hoti, evam'evaṃ evarūpāya parisāya yāva<b>tatiyaṃ</b> anusāvitaṃ hoti"	""
"1"	"1"	"anusāvitaṃ"	"noun"	"nt nom sg of anusāvita, pp of anusāveti"	""	"அறிவிகக்கப்பட்டு"	"announcement, response"	"caused to hear"	"√su (hear)"	"4"	"*e"	"su + *e > sāve"	"anu + sāve + ita"	""	""	"NI"	"nidānuddeso"	"yathā kho pana paccekapuṭṭhassa veyyākaraṇaṃ hoti, evam'evaṃ evarūpāya parisāya yāvatatiyaṃ <b>anusāvitaṃ</b> hoti"	""
"2"	"20"	"hoti"	"verb"	"pr 3rd sg"	"+nom"	"இருக்கிறது"	"there is"	"it is"	"√hū (be)"	"1"	"a"	"√hū + a > ho"	"ho + ti"	"0"	"0"	"NI"	"nidānuddeso"	"yathā kho pana paccekapuṭṭhassa veyyākaraṇaṃ hoti, evam'evaṃ evarūpāya parisāya yāvatatiyaṃ anusāvitaṃ <b>hoti</b>"	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	""	""
"1"	"99"	"yo"	"pron"	"masc nom sg of ya"	""	"எவரேனும்"	"whichever, whoever"	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	"<b>yo</b> pana bhikkhu yāvatatiyaṃ anusāviyamāne saramāno santiṃ āpattiṃ n'āvikareyya, sampajānamusāvād'assa hoti."	""
"2"	"124"	"pana"	"ind"	"0"	"0"	"மற்றும்"	"then, now, so, but"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"NI"	"nidānuddeso"	"yo <b>pana</b> bhikkhu yāvatatiyaṃ anusāviyamāne saramāno santiṃ āpattiṃ n'āvikareyya, sampajānamusāvād'assa hoti."	""
"1"	"147"	"bhikkhu"	"noun"	"masc nom sg, from bhikkhati"	""	"பிக்கு"	"monk, monastic"	"beggar, mendicant"	"√bhikkh (beg)"	"1"	"a"	""	"√bhikkh + u"	""	""	"NI"	"nidānuddeso"	"yo pana <b>bhikkhu</b> yāvatatiyaṃ anusāviyamāne saramāno santiṃ āpattiṃ n'āvikareyya, sampajānamusāvād'assa hoti."	""
"2"	"7"	"yāvatatiyaṃ"	"ind"	"adv, comp"	"0"	"3 முறை வரை"	"up to the third time"	"0"	"0"	"0"	"0"	"0"	"yāva + tatiyaṃ"	"0"	"0"	"NI"	"nidānuddeso"	"yo pana bhikkhu <b>yāvatatiyaṃ</b> anusāviyamāne saramāno santiṃ āpattiṃ n'āvikareyya, sampajānamusāvād'assa hoti."	""
"1"	"1"	"anusāviyamāne"	"prp"	"masc loc sg of anusāviyamāna, prp of anusāviyati"	""	"அறிவிக்கப்படும் போது"	"when being announced, when announcement is being made"	"when causing to be heard"	"√su (hear)"	"4"	"*e iya"	"su + *e + iya > sāviya"	"anu + sāviya + māna"	""	""	"NI"	"nidānuddeso"	"yo pana bhikkhu yāvatatiyaṃ <b>anusāviyamāne</b> saramāno santiṃ āpattiṃ n'āvikareyya, sampajānamusāvād'assa hoti."	""
"1"	"1"	"saramāno"	"prp"	"masc nom sg of saramāna, prp of sarati"	"+acc"	"நினைவு"	"remembering, recalling"	""	"√sar (remember)"	"1"	"a"	"√sar + a > sara"	"sara + māna"	""	""	"NI"	"nidānuddeso"	"yo pana bhikkhu yāvatatiyaṃ anusāviyamāne <b>saramāno</b> santiṃ āpattiṃ n'āvikareyya, sampajānamusāvād'assa hoti."	""
"1"	"1"	"santiṃ"	"prp"	"fem acc sg of santa, prp of atthi"	""	"இருக்கும்போது"	"existing"	"being present"	"√as (be)"	"1"	"a"	"√as + a > sa"	"sa + nta"	""	""	"NI"	"nidānuddeso"	"yo pana bhikkhu yāvatatiyaṃ anusāviyamāne saramāno <b>santiṃ</b> āpattiṃ n'āvikareyya, sampajānamusāvād'assa hoti."	""
"1"	"4"	"āpattiṃ"	"noun"	"fem acc sg of āpatti, from āpajjati"	""	"குற்றத்தை"	"offence, transgression, wrongdoing"	"in go wrong"	"√pad (go, step)"	"3"	"ya"	""	"ā + √pad + ti"	""	""	"NI"	"nidānuddeso"	"yo pana bhikkhu yāvatatiyaṃ anusāviyamāne saramāno santiṃ <b>āpattiṃ</b> n'āvikareyya, sampajānamusāvād'assa hoti."	""
"1"	"1"	"nāvikareyya"	"verb"	"opt 3rd sg of na + āvikaroti, comp verb, neg"	"+acc"	"திறக்கவில்லை எனில்"	"should he not openly reveal"	"he should not make open"	""	""	""	""	"na + āvi + kareyya"	""	""	"NI"	"nidānuddeso"	"yo pana bhikkhu yāvatatiyaṃ anusāviyamāne saramāno santiṃ āpattiṃ <b>n'āvikareyya</b>, sampajānamusāvād'assa hoti."	""
"1"	"4"	"- na"	"ind"	"neg"	""	"இல்லை"	"not"	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	"yo pana bhikkhu yāvatatiyaṃ anusāviyamāne saramāno santiṃ āpattiṃ <b>n</b>'āvikareyya, sampajānamusāvād'assa hoti."	""
"1"	"1"	"- āvikareyya"	"verb"	"opt 3rd sg of āvikaroti, comp verb"	"+acc"	"திறக்கிறார் எனில்"	"should he openly reveal"	"he should make open"	""	""	""	""	"āvi + kareyya"	""	""	"NI"	"nidānuddeso"	"yo pana bhikkhu yāvatatiyaṃ anusāviyamāne saramāno santiṃ āpattiṃ n'<b>āvikareyya</b>, sampajānamusāvād'assa hoti."	""
"1"	"1"	"sampajānamusāvādassa"	"comp"	"sandhi"	""	"வேண்டுமென்றே பொய் சொல்வது"	"(that is) a deliberate lie for him"	""	""	""	""	""	"sampajāna + musā + vāda + assa"	""	""	"NI"	"nidānuddeso"	"yo pana bhikkhu yāvatatiyaṃ anusāviyamāne saramāno santiṃ āpattiṃ n'āvikareyya, <b>sampajānamusāvād'assa</b> hoti."	""
"1"	"3"	"- sampajāna"	"adj"	"from sampajānāti"	""	"வேண்டுமென்றே "	"deliberate, intentional"	"knowing, being aware, with full understanding"	"√ñā (know)"	"5"	"nā"	"√ñā + nā > jānā"	"saṃ + pa + jānā + a"	""	""	"NI"	"nidānuddeso"	"yo pana bhikkhu yāvatatiyaṃ anusāviyamāne saramāno santiṃ āpattiṃ n'āvikareyya, <b>sampajāna</b>musāvād'assa hoti."	""
"1"	"1"	"- musāvāda"	"noun"	"comp"	""	"பொய் சொல்வது"	"lying"	"false speech"	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	"yo pana bhikkhu yāvatatiyaṃ anusāviyamāne saramāno santiṃ āpattiṃ n'āvikareyya, sampajāna<b>musāvād</b>'assa hoti."	""
"1"	"2"	"- - musā"	"ind"	""	""	"பொய்"	"false, falsely, wrongly"	""	"√mus (lie, forget)"	"3"	"ya"	""	"√mus + ā"	""	""	"NI"	"nidānuddeso"	"yo pana bhikkhu yāvatatiyaṃ anusāviyamāne saramāno santiṃ āpattiṃ n'āvikareyya, sampajāna<b>musā</b>vād'assa hoti."	""
"1"	"1"	"- - vāda"	"noun"	"masc, from vadati"	""	"சொல்வது"	"speech, statement, word"	""	"√vad (speak)"	"1"	"a"	""	"√vad + *a"	""	""	"NI"	"nidānuddeso"	"yo pana bhikkhu yāvatatiyaṃ anusāviyamāne saramāno santiṃ āpattiṃ n'āvikareyya, sampajānamusā<b>vād</b>'assa hoti."	""
"1"	"7"	"- assa"	"pron"	"masc dat sg of ta"	""	"அவருக்கு"	"for him, to him"	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	"yo pana bhikkhu yāvatatiyaṃ anusāviyamāne saramāno santiṃ āpattiṃ n'āvikareyya, sampajānamusāvād'<b>assa</b> hoti."	""
"3"	"20"	"hoti"	"verb"	"pr 3rd sg"	"+nom"	"இருக்கிறது"	"there is"	"it is"	"√hū (be)"	"1"	"a"	"√hū + a > ho"	"ho + ti"	"0"	"0"	"NI"	"nidānuddeso"	"yo pana bhikkhu yāvatatiyaṃ anusāviyamāne saramāno santiṃ āpattiṃ n'āvikareyya, sampajānamusāvād'assa <b>hoti</b>."	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	""	""
"1"	"1"	"sampajānamusāvādo"	"noun"	"masc nom sg of sampajānamusāvāda"	""	"வேண்டுமென்றே பொய் சொல்வது"	"a deliberate lie, an intentional lie"	"knowing lie"	""	""	""	""	"sampajāna + musā + vāda"	""	""	"NI"	"nidānuddeso"	"<b>sampajānamusāvādo</b> kho pan'āyasmanto antarāyiko dhammo vutto bhagavatā"	""
"2"	"3"	"- sampajāna"	"adj"	"from sampajānāti"	"0"	"வேண்டுமென்றே "	"deliberate, intentional"	"knowing, being aware, with full understanding"	"√ñā (know)"	"5"	"nā"	"√ñā + nā > jānā"	"saṃ + pa + jānā + a"	"0"	"0"	"NI"	"nidānuddeso"	"<b>sampajāna</b>musāvādo kho pan'āyasmanto antarāyiko dhammo vutto bhagavatā"	""
"1"	"1"	"- musāvādo"	"noun"	"masc nom sg of musāvāda, comp"	""	"பொய் சொல்வது"	"lying"	"false speech"	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	"sampajāna<b>musāvādo</b> kho pan'āyasmanto antarāyiko dhammo vutto bhagavatā"	""
"3"	"42"	"kho"	"ind"	"emph"	"0"	"நிச்சயமாக"	"truly, indeed, then"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"NI"	"nidānuddeso"	"sampajānamusāvādo <b>kho</b> pan'āyasmanto antarāyiko dhammo vutto bhagavatā"	""
"1"	"8"	"panāyasmanto"	"comp"	"sandhi"	""	"மற்றும் ஆயுஷ்மான்"	"and venerables"	""	""	""	""	""	"pana + āyasmanto"	""	""	"NI"	"nidānuddeso"	"sampajānamusāvādo kho <b>pan'āyasmanto</b> antarāyiko dhammo vutto bhagavatā"	""
"2"	"4"	"- pana"	"ind"	"0"	"0"	"மற்றும்"	"then, now, so, but"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"NI"	"nidānuddeso"	"sampajānamusāvādo kho <b>pan</b>'āyasmanto antarāyiko dhammo vutto bhagavatā"	""
"1"	"5"	"- āyasmanto"	"noun"	"masc voc pl of āyasmantu"	""	"ஆயுஷ்மான்"	"venerables"	"having long life"	""	""	""	""	"āyus + mantu"	""	""	"NI"	"nidānuddeso"	"sampajānamusāvādo kho pan'<b>āyasmanto</b> antarāyiko dhammo vutto bhagavatā"	""
"1"	"1"	"antarāyiko"	"adj"	"masc nom sg of antarāyika"	""	"முட்டுக்கட்டை"	"obstructive"	"coming in-between"	""	""	""	""	"antara + aya + ika"	""	""	"NI"	"nidānuddeso"	"sampajānamusāvādo kho pan'āyasmanto <b>antarāyiko</b> dhammo vutto bhagavatā"	""
"1"	"4"	"dhammo"	"noun"	"masc nom sg of dhamma"	""	"நிலை"	"act, behaviour"	""	"√dhar (hold)"	"1"	"a"	""	"√dhar + ma"	""	""	"NI"	"nidānuddeso"	"sampajānamusāvādo kho pan'āyasmanto antarāyiko <b>dhammo</b> vutto bhagavatā"	""
"1"	"1"	"vutto"	"pp"	"masc nom sg of vutta, pp of vacati"	""	"சொல்லப்பட்டது"	"said, spoken"	""	"√vac (speak)"	"1"	"a"	""	"√vac > vuc + ta"	""	""	"NI"	"nidānuddeso"	"sampajānamusāvādo kho pan'āyasmanto antarāyiko dhammo <b>vutto</b> bhagavatā"	""
"1"	"7"	"bhagavatā"	"noun"	"masc instr sg of bhagavantu"	""	"பகவானால்"	"by the Blessed One, Fortunate One"	"having luck, fortune"	"√bhaj (divide)"	"1"	"a"	""	"√bhaj > bhag + avantu"	""	""	"NI"	"nidānuddeso"	"sampajānamusāvādo kho pan'āyasmanto antarāyiko dhammo vutto <b>bhagavatā</b>"	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	""	""
"1"	"10"	"tasmā"	"ind"	"adv, abl sg of ta"	""	"எனவே"	"therefore"	"from that"	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	"<b>tasmā</b> saramānena bhikkhunā āpannena visuddh'āpekkhena santī āpatti āvikātabbā"	""
"1"	"1"	"saramānena"	"prp"	"masc instr sg of saramāna, prp of sarati"	"+acc"	"நினைவிருக்கும்"	"by a remembering, recalling"	""	"√sar (remember)"	"1"	"a"	"√sar + a > sara"	"sara + māna"	""	""	"NI"	"nidānuddeso"	"tasmā <b>saramānena</b> bhikkhunā āpannena visuddh'āpekkhena santī āpatti āvikātabbā"	""
"1"	"39"	"bhikkhunā"	"noun"	"masc instr sg of bhikkhu, from bhikkhati"	""	"பிக்குவால்"	"by a monk, monastic"	"beggar, mendicant"	"√bhikkh (beg)"	"1"	"a"	""	"√bhikkh + u"	""	""	"NI"	"nidānuddeso"	"tasmā saramānena <b>bhikkhunā</b> āpannena visuddh'āpekkhena santī āpatti āvikātabbā"	""
"1"	"1"	"āpannena"	"adj"	"masc instr sg of āpanna, pp of āpajjati"	""	"குற்றம்"	"by who has committed, who has fallen into (an offence)"	"entered, reached"	"√pad (go, step)"	"3"	"ya"	""	"ā + √pad + na"	""	""	"NI"	"nidānuddeso"	"tasmā saramānena bhikkhunā <b>āpannena</b> visuddh'āpekkhena santī āpatti āvikātabbā"	""
"1"	"1"	"visuddhāpekkhena"	"adj"	"masc instr sg, comp"	""	"தூய்மை செய்ய பார்ப்பவரால்"	"by (a monk) looking for purity"	""	""	""	""	""	"visuddhi + apekkha"	""	""	"NI"	"nidānuddeso"	"tasmā saramānena bhikkhunā āpannena <b>visuddh'āpekkhena</b> santī āpatti āvikātabbā"	""
"1"	"2"	"- visuddhi"	"noun"	"fem, from visujjhati"	""	"தூய்மை "	"purity"	""	"√sudh (be pure)"	"3"	"ya"	""	"vi + √sudh + ti"	""	""	"NI"	"nidānuddeso"	"tasmā saramānena bhikkhunā āpannena <b>visuddh</b>'āpekkhena santī āpatti āvikātabbā"	""
"1"	"1"	"- apekkhena"	"adj"	"masc instr sg of apekkha, from apekkhati"	""	"செய்ய பார்ப்பவரால்"	"(by) looking for, wanting, desiring"	"looking around"	"√ikkh (see)"	"1"	"a"	""	"apa + √ikkha + a"	""	""	"NI"	"nidānuddeso"	"tasmā saramānena bhikkhunā āpannena visuddh'<b>āpekkhena</b> santī āpatti āvikātabbā"	""
"1"	"1"	"santī"	"prp"	"fem nom sg of santa, prp of atthi"	""	"இருக்கின்ற"	"existing"	"being present"	"√as (be)"	"1"	"a"	"√as + a > sa"	"sa + nta"	""	""	"NI"	"nidānuddeso"	"tasmā saramānena bhikkhunā āpannena visuddh'āpekkhena <b>santī</b> āpatti āvikātabbā"	""
"2"	"2"	"āpatti"	"noun"	"fem nom sg, from āpajjati"	"0"	"தவறு"	"offence, transgression, wrongdoing"	"go wrong"	"√pad (go, step)"	"3"	"ya"	"0"	"ā + √pad + ti"	"0"	"0"	"NI"	"nidānuddeso"	"tasmā saramānena bhikkhunā āpannena visuddh'āpekkhena santī <b>āpatti</b> āvikātabbā"	""
"1"	"1"	"āvikātabbā"	"ptp"	"fem nom sg āvikātabba, ptp of āvikaroti"	""	"திறக்கப்பட வேண்டும்"	"should be revealed, should be openly declared"	"should be made open"	""	""	""	""	"āvi + kātabbā"	""	""	"NI"	"nidānuddeso"	"tasmā saramānena bhikkhunā āpannena visuddh'āpekkhena santī āpatti <b>āvikātabbā</b>"	""
"2"	"3"	"- āvi"	"ind"	"adv"	"0"	"திறக்க"	"open, full view, in plain sight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"NI"	"nidānuddeso"	"tasmā saramānena bhikkhunā āpannena visuddh'āpekkhena santī āpatti <b>āvi</b>kātabbā"	""
"1"	"1"	"- kātabbā"	"ptp"	"fem nom sg kātabba, ptp of karoti"	""	"படவேண்டும்"	"should be done, should be made"	""	"√kar (do, make)"	"7"	"o"	""	"√kar + tabba"	""	""	"NI"	"nidānuddeso"	"tasmā saramānena bhikkhunā āpannena visuddh'āpekkhena santī āpatti āvi<b>kātabbā</b>"	""
"1"	"1"	"āvikatā"	"pp"	"fem nom sg of āvikata, pp of āvikaroti"	""	"திறக்கப்பட்ட"	"revealed, declared, disclosed"	"made open"	""	""	""	""	"āvi + kata"	""	""	"NI"	"nidānuddeso"	"<b>āvikatā</b> h'issa phāsu hoti."	""
"3"	"3"	"- āvi"	"ind"	"adv"	"0"	"திறக்க"	"open, full view, in plain sight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"NI"	"nidānuddeso"	"<b>āvi</b>katā h'issa phāsu hoti."	""
"1"	"1"	"- katā"	"pp"	"fem nom sg of kata, pp of karoti"	""	"பட்ட"	"done, made"	""	"√kar (do, make)"	"7"	"o"	""	"√kar + ta"	""	""	"NI"	"nidānuddeso"	"āvi<b>katā</b> h'issa phāsu hoti."	""
"1"	"1"	"hissa"	"comp"	"sandhi"	""	"நிச்சயமாக அவருக்கு"	"indeed for him"	""	""	""	""	""	"hi + assa"	""	""	"NI"	"nidānuddeso"	"āvikatā <b>h'issa</b> phāsu hoti."	""
"1"	"2"	"- hi"	"ind"	"emph"	""	"நிச்சயமாக"	"indeed, truly, definitely, really, because"	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	"āvikatā <b>h'</b>issa phāsu hoti."	""
"2"	"7"	"- assa"	"pron"	"masc dat sg of ta"	"0"	"அவருக்கு"	"for him, to him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"NI"	"nidānuddeso"	"āvikatā h'<b>issa</b> phāsu hoti."	""
"1"	"5"	"phāsu"	"noun"	"masc nom sg, from phusati"	""	"சுலபமாக"	"ease, comfort"	"touch, contact"	"√phus (touch)"	"1"	"a"	""	"√phus > phās + *u"	""	""	"NI"	"nidānuddeso"	"āvikatā h'issa <b>phāsu</b> hoti."	""
"4"	"20"	"hoti"	"verb"	"pr 3rd sg"	"+nom"	"இருக்கிறது"	"there is"	"it is"	"√hū (be)"	"1"	"a"	"√hū + a > ho"	"ho + ti"	"0"	"0"	"NI"	"nidānuddeso"	"āvikatā h'issa phāsu <b>hoti</b>."	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	""	""
"1"	"2"	"uddiṭṭhaṃ"	"pp"	"nt nom sg of uddiṭṭha, pp of uddisati"	""	"படிக்கப்பட்டது"	"recited, chanted"	"pointed up"	"√dis (point out, explain)"	"1"	"a"	""	"ud + √dis + ta"	""	""	"NI"	"nidānuddeso"	"<b>uddiṭṭhaṃ</b> kho āyasmanto nidānaṃ."	""
"4"	"42"	"kho"	"ind"	"emph"	"0"	"நிச்சயமாக"	"truly, indeed, then"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"NI"	"nidānuddeso"	"uddiṭṭhaṃ <b>kho</b> āyasmanto nidānaṃ."	""
"2"	"14"	"āyasmanto"	"noun"	"masc voc pl of āyasmantu"	"0"	"ஆயுஷ்மான்களே"	"venerables"	"having long life"	"0"	"0"	"0"	"0"	"āyus + mantu"	"0"	"0"	"NI"	"nidānuddeso"	"uddiṭṭhaṃ kho <b>āyasmanto</b> nidānaṃ."	""
"1"	"2"	"nidānaṃ"	"noun"	"nt nom sg of nidāna"	""	"முன்னுரை"	"introduction"	"tied down"	"√dā (tie)"	"3"	"ya"	""	"ni + √dā + ana"	""	""	"NI"	"nidānuddeso"	"uddiṭṭhaṃ kho āyasmanto <b>nidānaṃ</b>."	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	""	""
"1"	"9"	"tatthāyasmante"	"comp"	"sandhi"	""	"அப்படிஎனில் ஆயுஷ்மந்தர்களை"	"in this case the venerables"	""	""	""	""	""	"tattha + āyasmante"	""	""	"NI"	"nidānuddeso"	"<b>tatth'āyasmante</b> pucchāmi, kacci'ttha parisuddhā"	""
"1"	"2"	"- tattha"	"ind"	"adv, from ta"	""	"அப்படிஎனில்"	"in this case, in this regard"	"there, in that place"	""	""	""	""	"ta + tha"	""	""	"NI"	"nidānuddeso"	"<b>tatth</b>'āyasmante pucchāmi, kacci'ttha parisuddhā"	""
"2"	"3"	"- āyasmante"	"noun"	"masc acc pl of āyasmantu"	"0"	"ஆயுஷ்மந்தர்களை"	"venerables (object)"	"having long life"	"0"	"0"	"0"	"0"	"āyus + mantu"	"0"	"0"	"NI"	"nidānuddeso"	"tatth'<b>āyasmante</b> pucchāmi, kacci'ttha parisuddhā"	""
"1"	"27"	"pucchāmi"	"verb"	"pr 1st sg of pucchati"	""	"கேட்கிறேன்"	"I ask, I am asking"	""	"√pucch (ask)"	"1"	"a"	"√pucch + a > puccha"	"puccha + ti"	""	""	"NI"	"nidānuddeso"	"tatth'āyasmante <b>pucchāmi</b>, kacci'ttha parisuddhā"	""
"1"	"27"	"kaccittha"	"comp"	"sandhi"	""	"மா? இங்கு"	"I trust in this case, I trust you all are"	""	""	""	""	""	"kacci + ettha or kacci + attha"	""	""	"NI"	"nidānuddeso"	"tatth'āyasmante pucchāmi, <b>kacc'ittha</b> parisuddhā"	"<b>kaccitthā</b>'ti kacci ettha ... atha vā kacci'ttha parisuddhā'ti kacci parisuddhā attha, bhavathā'ti attho."
"1"	"1"	"- kacci"	"ind"	"interr, from ka"	""	"மா?"	"I hope, I trust, I doubt, I suspect, I wonder"	""	""	""	""	""	"ka + ci"	""	""	"NI"	"nidānuddeso"	"tatth'āyasmante pucchāmi, <b>kacci</b>'ttha parisuddhā"	""
"1"	"2"	"- ettha"	"ind"	"adv"	""	"இங்கு"	"in this regard, in the case"	"here, in this place"	""	""	""	""	"eta + tha"	""	""	"NI"	"nidānuddeso"	"tatth'āyasmante pucchāmi, kacci'<b>ttha</b> parisuddhā"	""
"1"	"1"	"- attha"	"verb"	"pr 2nd pl of atthi"	"+nom"	"நீங்கள்"	"you all are"	""	"√as (be)"	"1"	"a"	""	"√as + ti"	""	""	"NI"	"nidānuddeso"	"tatth'āyasmante pucchāmi, kacci'<b>ttha</b> parisuddhā"	""
"1"	"27"	"parisuddhā"	"adj"	"masc nom pl of parisuddha, pp of parisujjhati"	""	"பரிசுத்தம்"	"pure, innocent"	"purified"	"√sudh (be pure)"	"3"	"ya"	""	"pari + √sudh + ta"	""	""	"NI"	"nidānuddeso"	"tatth'āyasmante pucchāmi, kacci'ttha <b>parisuddhā</b>"	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	""	""
"1"	"9"	"dutiyampi"	"comp"	"sandhi"	""	"இரண்டாம் முறையாக"	"and for the second time"	""	""	""	""	""	"dutiyaṃ + api"	""	""	"NI"	"nidānuddeso"	"<b>dutiyam'pi</b> pucchāmi, kacci'ttha parisuddhā"	""
"1"	"1"	"- dutiyaṃ"	"ind"	"adv, acc sg of dutiya"	""	"இரண்டாம் முறை"	"for the second time"	""	""	""	""	""	"dvi + tiya + aṃ"	""	""	"NI"	"nidānuddeso"	"<b>dutiyam</b>'pi pucchāmi, kacci'ttha parisuddhā"	""
"1"	"26"	"- api"	"ind"	"conj"	""	"யாக"	"then, and, now, even"	""	""	""	""	""	"(a)pi"	""	""	"NI"	"nidānuddeso"	"dutiyam'<b>pi</b> pucchāmi, kacci'ttha parisuddhā"	""
"2"	"27"	"pucchāmi"	"verb"	"pr 1st sg of pucchati"	"0"	"கேட்கிறேன்"	"I ask, I am asking"	"0"	"√pucch (ask)"	"1"	"a"	"√pucch + a > puccha"	"puccha + ti"	"0"	"0"	"NI"	"nidānuddeso"	"dutiyam'pi <b>pucchāmi</b>, kacci'ttha parisuddhā"	""
"2"	"27"	"kaccittha"	"comp"	"sandhi"	"0"	"மா? இங்கு"	"I trust in this case, I trust you all are"	"0"	"0"	"0"	"0"	"0"	"kacci + ettha or kacci + attha"	"0"	"0"	"NI"	"nidānuddeso"	"dutiyam'pi pucchāmi, <b>kacci'ttha</b> parisuddhā"	""
"2"	"27"	"parisuddhā"	"adj"	"masc nom pl of parisuddha, pp of parisujjhati"	"0"	"பரிசுத்தம்"	"pure, innocent"	"purified"	"√sudh (be pure)"	"3"	"ya"	"0"	"pari + √sudh + ta"	"0"	"0"	"NI"	"nidānuddeso"	"dutiyam'pi pucchāmi, kacci'ttha <b>parisuddhā</b>"	""
